	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP860,0.062363908251585,0.0113277033800046,0.0465114987097774,0.0107355069022018,0.0254659854292448,0.0117910388209773,0.0480016261983093,0.0294186276348896,0.0486717434835257,0.0340468247332196,0.0523932607018575,3.15662547443196e-05
bSNP863,0.071178603405097,0.0237081089782114,0.0724785100024834,0.0067418782475396,0.0669668613668134,0.0231462120377528,0.0715968670888992,0.0285047942598019,0.0701328181273341,0.0389045013254105,0.0716075797813767,0.0326095242090292
bSNP864,0.910952573044866,0.928145530667871,0.526536816302765,0.269697609657448,0.0437693737304284,0.0201662766572729,0.890631774042193,0.855166420371042,0.287331096068077,0.341473600661633,0.0707419728982789,-0.000286138634423505
bSNP865,0.0662420574701048,0.166117931257018,0.130463097124675,0.0424905775171668,0.0596818780101362,-0.000549255198916798,0.077919436152145,0.120513193498785,0.128931498118158,0.0643657429762745,0.0866843381089238,-0.0030580425949839
bSNP868,0.919733455464498,0.0635250447286254,0.108011558658529,0.0796136314658171,0.0505664682559084,0.0054791744143491,0.887408790745374,0.0434124221603078,0.0337839229664583,0.0642744984355239,0.0262301590195682,0.0059346961185443
bSNP869,0.208034150230314,0.0465109667925889,0.0322472126910515,0.0489295069837976,0.0488215384391643,0.0049594888069754,0.179422056958602,0.0575299709936186,0.0391053451467263,0.0764028111524991,0.0544649070474447,0.0043231596583491
bSNP873,0.887105704791245,0.917255919183362,0.890262647295732,0.870627368324998,0.349546670528286,0.0417674768893787,0.866642105233005,0.846799045776237,0.859894612984088,0.886819285703826,0.283318949401173,0.132826041065927
bSNP874,0.0410480456374379,0.0399581282977717,0.0288414040630988,0.0202787561342744,0.0353697285198241,0.0074845325309674,0.0163833589735276,0.0219141329076548,0.0068636508946163,0.0314414200546078,0.0485239698182261,0.0216702978000732
bSNP875,0.0146791933076633,0.040457295528012,-0.0014413904112946,0.0170524506154131,-0.0296644480406698,0.011484613764879,-0.0081175178137196,0.0336783927864534,-0.0303611945092563,0.0340730592181816,-0.0262037960753809,0.005530252251273
bSNP876,0.403283514859782,0.315234113774649,0.231872515727617,0.256400976250421,0.038274174829581,-0.0021744426201664,0.333891513448692,0.309200692091164,0.167105063741817,0.227158140531661,0.0473517887435376,0.0120921023232394
